entry_time,direction,pnl
2021-01-28T06:30:00,short,-260.5
2021-01-29T22:45:00,long,-244.0
2021-02-19T18:45:00,long,-30.5
2021-03-05T23:15:00,long,-201.0
2021-03-29T14:15:00,short,-109.5
2021-04-21T00:00:00,short,-16.0
2021-06-01T23:15:00,short,-55.5
2021-07-16T00:00:00,short,32.0
2021-07-20T07:00:00,long,3.5
2021-08-11T21:45:00,long,-54.0
2021-08-17T04:30:00,long,-6.5
2021-09-14T21:45:00,long,-107.0
2021-09-16T02:00:00,long,115.5
2021-10-07T02:45:00,long,302.5
2021-10-12T05:15:00,short,75.0
2021-11-12T23:15:00,long,-123.5
2021-11-24T01:00:00,short,-159.0
2021-12-14T23:30:00,short,-217.0
2021-12-16T05:15:00,long,303.0
2021-12-22T05:00:00,long,-89.0
2022-01-04T00:00:00,short,-140.5
2022-01-14T02:30:00,short,259.0
2022-01-15T00:00:00,long,-222.5
2022-01-18T18:30:00,short,-116.0
2022-02-09T01:15:00,long,-53.0
2022-02-10T23:15:00,short,-184.0
2022-03-05T00:15:00,short,-165.0
2022-03-10T02:45:00,long,-35.0
2022-04-02T01:00:00,short,-113.0
2022-05-03T05:00:00,long,24.0
2022-06-09T01:45:00,short,-32.5
2022-06-09T21:45:00,short,-171.5
2022-07-15T22:00:00,long,280.5
2022-07-19T03:00:00,short,99.5
2022-09-08T02:45:00,long,101.5
2022-10-04T09:30:00,long,-73.5
2022-10-10T23:45:00,short,-146.5
2022-11-01T23:15:00,short,97.5
2022-11-29T23:45:00,short,-83.5
2022-12-02T22:45:00,short,-58.0
2022-12-16T01:15:00,short,8.0
2023-01-06T18:30:00,short,-34.5
2023-01-19T19:45:00,short,1.5
2023-01-31T12:45:00,short,-11.0
2023-02-21T09:15:00,short,462.0
2023-02-27T22:45:00,long,-41.0
2023-03-01T18:15:00,long,-45.0
2023-03-03T04:00:00,long,59.0
2023-03-28T23:45:00,short,-93.0
2023-03-29T10:30:00,long,-47.5
2023-04-17T23:45:00,short,-14.5
2023-04-20T08:45:00,short,128.0
2023-05-08T21:45:00,short,-50.5
2023-06-23T13:30:00,short,-43.0
2023-07-27T22:45:00,long,-47.0
2023-08-25T03:45:00,short,172.5
2023-08-26T00:00:00,short,-113.0
2023-09-06T23:15:00,short,-11.5
2023-09-29T00:45:00,long,-37.5
2023-10-03T21:45:00,short,-89.5
2024-02-01T04:45:00,long,-157.0
2024-02-02T00:30:00,long,-189.5
2024-02-02T23:00:00,short,-159.0
2024-02-06T20:45:00,short,-96.5
2024-02-07T10:15:00,long,-80.5
2024-02-13T22:45:00,short,-123.0
2024-02-17T00:00:00,short,-163.0
2024-03-06T00:45:00,short,-74.0
2024-03-09T03:00:00,short,50.0
2024-04-06T00:00:00,long,-49.0
2024-05-02T23:15:00,short,-45.5
2024-05-29T21:45:00,short,-98.0
2024-06-27T22:45:00,long,-30.5
2024-07-12T03:00:00,short,-78.5
2024-07-15T14:45:00,long,35.0
2024-07-16T02:45:00,short,-136.0
2024-08-02T00:45:00,short,2473.0
2024-09-30T21:00:00,short,-115.5
2024-10-16T23:00:00,short,-157.5
2024-10-18T09:30:00,short,-94.0
2024-10-21T18:30:00,short,-10.5
2024-10-29T13:00:00,short,-80.5
2024-10-31T07:15:00,short,199.5
2024-11-15T08:15:00,short,189.5
2024-11-28T00:30:00,short,-42.5
2024-12-21T01:45:00,long,-341.5
2025-01-08T00:15:00,short,351.0
2025-01-15T22:45:00,long,18.0
2025-01-27T13:45:00,short,685.0
2025-02-22T00:00:00,short,708.0
2025-05-21T18:45:00,short,-130.5
2025-06-06T02:00:00,short,179.0
2025-06-19T04:00:00,short,71.5
2025-06-19T21:45:00,short,-105.5
2025-07-08T03:30:00,short,-141.0
2025-08-01T03:15:00,short,77.0
2025-09-25T21:45:00,short,-93.0
2025-10-01T23:30:00,long,329.0
2025-10-16T23:45:00,long,-92.0
2025-10-23T02:45:00,short,-301.0
2025-11-15T00:45:00,long,265.0
2025-11-25T18:00:00,short,-118.5
2026-01-09T00:00:00,short,-149.0
2026-01-15T20:15:00,long,-11.0
2026-02-20T20:15:00,short,-115.5
2026-02-27T00:30:00,short,-132.0
2026-03-02T08:15:00,short,-184.5
2026-03-04T19:15:00,long,-239.5
2026-03-05T00:30:00,long,-39.0
2026-03-17T12:00:00,short,-88.0
2026-03-17T21:45:00,long,794.5
2026-03-20T04:15:00,long,-145.0
2026-03-25T05:30:00,long,-133.0
2026-04-02T23:45:00,long,-64.5
